artist_id,Name,Type,Popularity,Genres,Followers
7xGGqA85UIWX1GoTVM4itC,The Staple Singers,artist,49,"chicago soul, classic soul, memphis soul, soul, southern soul",342102
1FWybrAwiSa0zKibdLfZZr,Blue Foundation,artist,48,dream pop,135472
1C4kZs9XyNnm9HWFng6ZFH,Justin Hayward,artist,34,classic uk pop,46775
2zpFG5cvw00QmrYTUsjApa,The Three Degrees,artist,45,"classic girl group, classic soul, disco, motown, philly soul",197430
7tT5h21rKj9yFfQuqBYLqT,Trick Trick,artist,45,detroit hip hop,265958
5TOosZsVbwb5O1BOFdcLmw,Soul Coughing,artist,38,alternative rock,124960
4kNRotUiNCcfZhnpJJTDtl,Vern Gosdin,artist,43,"bakersfield sound, country",171823
3CsPxFJGyNa9ep79CFWN77,La Sonora Santanera,artist,59,"bolero, bolero mexicano, tropical",1199914
3AQRLZ9PuTAozP28Skbq8V,The Script,artist,71,"celtic rock, pop",7937334
0MsXN56oNCyqorqEPViWgQ,Carlos Santana,artist,55,,10967
25THA9HUHoxpCT4LBp7UsZ,Vicentico,artist,59,"argentine rock, latin alternative, latin rock, rock en espanol",1596129
4CkylgE063jGrbE07BZ8D4,Val Doonican,artist,23,classic uk pop,11790
1d6dwipPrsFSJVmFTTdFSS,Paulina Rubio,artist,63,"latin arena pop, latin pop, mexican pop",2839146
6HqPNOo6OV9rPbEY7MP9T8,Julio Jaramillo,artist,61,"bolero, folklore ecuatoriano, musica popular colombiana",1276329
3trsSEaKM3UM2R9RBJwdtJ,Charles Brown,artist,21,"jazz blues, piano blues",13811
64mPnRMMeudAet0E62ypkx,Primus,artist,54,"alternative metal, alternative rock, funk metal, funk rock, grunge, nu metal",1149396
2u0gw0uCWBMiqV7h0N8kai,Wet Wet Wet,artist,51,"boy band, new romantic, new wave pop, soft rock, sophisti-pop",503407
194g4SFwSSzyPtgkH7v3Cx,After The Fire,artist,33,new wave,13641
0pqGj6vO9YHsXuZmaJaP2Y,Jan & Dean,artist,36,"bubblegum pop, classic garage rock, doo-wop, rock-and-roll, rockabilly, sunshine pop, surf music",114034
4EEZg8R3dxbTCCQ1DVWtHg,Bobby Pulido,artist,60,"banda, grupera, musica mexicana, norteno, tejano",750824
4R3U54HaBxqbw1ey5lMcXQ,Troy Shondell,artist,10,"deep adult standards, doo-wop",2043
3S34Unhn5yRcaH5K9aU5Et,Candi Staton,artist,54,southern soul,94929
1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,artist,67,"dance pop, hip pop, neo soul, r&b, urban contemporary",3779844
44PA0rCQXikgOWbfY7Fq7m,Ying Yang Twins,artist,59,"atl hip hop, crunk, dirty south rap, old school atlanta hip hop, southern hip hop",1094350
2ODUxmFxJSyvGiimNhMHbO,Johnny Winter,artist,41,"blues, blues rock, classic rock, country rock, electric blues, modern blues, texas blues, traditional blues",499555
3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,artist,63,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",2608761
3pHeBYl1yujXcZqqfF1UyQ,Blues Traveler,artist,51,"heartland rock, jam band, pop rock, post-grunge",660309
4l65AlrXvlx2y500dqKcI2,Cristy Lane,artist,27,country gospel,5520
4LtIfuFeAamus9OOItuWDD,Us3,artist,42,"acid jazz, jazz rap",83454
6Zh3xrWlA0SA9Fsfj9AVwm,Wang Chung,artist,50,"new romantic, new wave pop, synthpop",332300
3zunDAtRDg7kflREzWAhxl,Eels,artist,52,"alternative rock, chamber pop, melancholia",458815
3K8EYZ4Ltg6ythgGZzrFXf,Marc Lavoine,artist,48,"chanson, french pop",404926
6gYjIUFuKIBVJfxXnmrd5P,Carl Carlton,artist,44,,24262
2DWQX92uew7DlsgN0yD775,Dave Mason,artist,39,"country rock, folk rock, mellow gold, singer-songwriter, soft rock, southern rock, yacht rock",183776
2drMeidRg4jc07neGOL0Ip,R.L. Burnside,artist,40,"acoustic blues, blues, country blues, delta blues, traditional blues",132185
42tDjhK9kdS7CCHxs8ysz0,Hank Thompson,artist,35,"classic country pop, cowboy western, traditional country, western swing",40991
